
id,createdAt,question,answer
1,2024-08-20,"컴퓨터 네트워크란?","컴퓨터 네트워크는 두 대 이상의 컴퓨터가 자원을 공유하기 위해 연결된 시스템을 말합니다."
2,2024-08-20,"OSI 7계층이란?","OSI 7계층은 네트워크 통신을 7개의 계층으로 나눈 모델로, 각각의 계층이 독립적으로 동작합니다."
3,2024-08-20,"TCP/IP란?","TCP/IP는 인터넷에서 사용되는 통신 프로토콜의 집합으로, 데이터 전송을 관리합니다."
4,2024-08-20,"라우터의 역할은?","라우터는 네트워크 간 데이터를 전달하는 장비로, 최적의 경로를 찾아 데이터를 전송합니다."
5,2024-08-20,"스위치와 허브의 차이점은?","스위치는 데이터 패킷을 특정 장치로 전달하는 반면, 허브는 모든 장치로 데이터를 전송합니다."
6,2024-08-20,"IP 주소란?","IP 주소는 네트워크 상에서 장치들을 식별하기 위한 고유 주소입니다."
7,2024-08-20,"DNS의 역할은?","DNS는 도메인 이름을 IP 주소로 변환하는 시스템입니다."
8,2024-08-20,"방화벽이란?","방화벽은 네트워크 보안을 위해 외부의 불법적인 접근을 차단하는 시스템입니다."
9,2024-08-20,"VPN의 기능은?","VPN은 공용 네트워크에서 사설 네트워크를 사용하는 것처럼 보안을 제공하는 기술입니다."
10,2024-08-20,"패킷이란?","패킷은 네트워크를 통해 전송되는 데이터의 작은 단위입니다."
11,2024-08-20,"MAC 주소란?","MAC 주소는 네트워크 인터페이스 카드(NIC)에 할당된 고유 식별자로, 네트워크에서 장치를 식별하는 데 사용됩니다."
12,2024-08-20,"LAN과 WAN의 차이점은?","LAN(Local Area Network)은 지역 내에서 연결된 네트워크이고, WAN(Wide Area Network)은 더 넓은 지역을 아우르는 네트워크입니다."
13,2024-08-20,"클라우드 컴퓨팅이란?","클라우드 컴퓨팅은 인터넷을 통해 데이터 저장, 처리 및 관리를 제공하는 서비스입니다."
14,2024-08-20,"서브넷 마스크란?","서브넷 마스크는 IP 주소를 네트워크 부분과 호스트 부분으로 나누기 위해 사용됩니다."
15,2024-08-20,"HTTP와 HTTPS의 차이점은?","HTTP는 데이터를 암호화하지 않는 반면, HTTPS는 SSL/TLS를 사용하여 데이터를 암호화합니다."
16,2024-08-20,"FTP의 역할은?","FTP(File Transfer Protocol)는 네트워크를 통해 파일을 전송하기 위한 프로토콜입니다."
17,2024-08-20,"네트워크 토폴로지란?","네트워크 토폴로지는 네트워크에서 노드와 연결이 구성된 방식입니다."
19,2024-08-20,"방화벽의 종류는?","방화벽은 소프트웨어 방화벽과 하드웨어 방화벽으로 나눌 수 있으며, 각각 네트워크 보안을 제공합니다."
20,2024-08-20,"NAT란?","NAT(Network Address Translation)는 사설 IP 주소를 공용 IP 주소로 변환하여 인터넷 통신을 가능하게 하는 기술입니다."
21,2024-08-20,"Ping의 기능은?","Ping은 네트워크에서 두 장치 간의 연결 상태를 확인하기 위한 도구입니다."
22,2024-08-20,"VPN의 장점은?","VPN은 사용자 프라이버시 보호, 지리적 제약 우회, 안전한 데이터 전송 등을 제공합니다."
23,2024-08-20,"QoS란?","QoS(Quality of Service)는 네트워크에서 특정 트래픽에 우선순위를 부여하여 서비스 품질을 보장하는 기술입니다."
24,2024-08-20,"IPv4와 IPv6의 차이점은?","IPv4는 32비트 주소를 사용하고, IPv6는 128비트 주소를 사용하여 더 많은 주소 공간을 제공합니다."
25,2024-08-20,"DHCP의 역할은?","DHCP(Dynamic Host Configuration Protocol)는 네트워크에서 장치에 IP 주소를 자동으로 할당하는 프로토콜입니다."
26,2024-08-20,"SSL/TLS란?","SSL/TLS는 인터넷에서 데이터를 안전하게 전송하기 위한 암호화 프로토콜입니다."
27,2024-08-20,"ICMP란?","ICMP(Internet Control Message Protocol)는 네트워크 장치 간의 오류 메시지 전송을 위한 프로토콜입니다."
28,2024-08-20,"포트 번호란?","포트 번호는 네트워크에서 특정 프로세스를 식별하기 위한 숫자입니다."
29,2024-08-20,"패킷 스니핑이란?","패킷 스니핑은 네트워크에서 전송되는 패킷을 가로채고 분석하는 행위입니다."
30,2024-08-20,"로드 밸런싱이란?","로드 밸런싱은 네트워크 트래픽을 여러 서버로 분산시켜 성능과 신뢰성을 향상시키는 기술입니다."
31,2024-08-20,"애플리케이션 레이어란?","애플리케이션 레이어는 OSI 7계층 모델의 최상위 계층으로, 네트워크 애플리케이션과 사용자 간의 상호 작용을 처리합니다."
